  Case #    Full LP Solution    Pruned LP Solution
--------  ------------------  --------------------
       1            0.25                  0.25
       2            0.25                  0.25
       3            0.25                  0.25
       4            0.25                  0.25
       5            0.25                  0.25
       6            0.25                  0.25
       7            0.333333              0.333333
       8            0.333333              0.333333
       9            0.333333              0.333333
      10            0.333333              0.333333
      11            0.333333              0.333333
      12            0.333333              0.333333
      13            0.25                  0.25
      14            0.333333              0.333333
      15            0.333333              0.333333
      16            0.333333              0.333333
      17            0.25                  0.25
      18            0.25                  0.25
      19            0.333333              0.333333
      20            0.333333              0.333333
      21            0.25                  0.25
      22            0.333333              0.333333
      23            0.333333              0.333333
      24            0.333333              0.333333
      25            0.333333              0.333333
      26            0.333333              0.333333
      27            0.333333              0.333333
      28            0.333333              0.333333
      29            0.375                 0.375
      30            0.375                 0.375
      31            0.333333              0.333333
      32            0.333333              0.333333
      33            0.333333              0.333333
      34            0.333333              0.333333
      35            0.333333              0.333333
      36            0.333333              0.333333
      37            0.333333              0.333333
      38            0.333333              0.333333
      39            0.333333              0.333333
      40            0.25                  0.25
      41            0.333333              0.333333
      42            0.333333              0.333333
      43            0.333333              0.333333
      44            0.333333              0.333333
      45            0.4                   0.4
      46            0.4                   0.4
      47            0.333333              0.333333
      48            0.4                   0.4
      49            0.4                   0.4
      50            0.333333              0.333333
      51            0.4                   0.4
      52            0.333333              0.333333
      53            0.333333              0.333333
      54            0.333333              0.333333
      55            0.333333              0.333333
      56            0.333333              0.333333
      57            0.5                   0.5
      58            0.5                   0.5
      59            0.333333              0.333333
      60            0.5                   0.5
      61            0.4                   0.4
      62            0.333333              0.333333
      63            0.5                   0.5
